,name,split,train_A,train_B,train_C,train_D,val,sensitive,train_S
86,bump_242-22-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
87,bump_123-11-0.006_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
88,bump_198-22-0.003_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
89,bump_98-12-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
90,bump_486-10-0.007_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
91,bump_115-22-0.003_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
92,bump_348-20-0.008_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
93,bump_201-19-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
94,bump_78-20-0.003_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
95,bump_497-21-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
96,bump_408-19-0.007_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
97,bump_222-21-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
98,bump_527-16-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
99,bump_98-16-0.001_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
100,bump_212-13-0.001_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
101,bump_542-21-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
102,bump_537-16-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
103,bump_406-21-0.001_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
104,bump_368-18-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
105,bump_125-14-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
106,bump_416-13-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
107,bump_538-19-0.005_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
108,bump_102-21-0.008_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
109,bump_95-19-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
110,bump_234-13-0.007_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
111,bump_566-14-0.007_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
112,bump_61-20-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
113,bump_119-25-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
114,bump_124-20-0.006_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
115,bump_553-24-0.007_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
116,bump_379-22-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
117,bump_471-17-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
118,bump_546-21-0.004_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
119,bump_147-16-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
120,bump_167-19-0.002_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
121,bump_320-11-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,True,True
122,bump_177-12-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
123,bump_517-20-0.003_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
124,bump_537-12-0.004_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
125,bump_146-13-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
126,bump_409-17-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
127,bump_551-19-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
128,bump_370-21-0.005_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
129,bump_224-15-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
130,bump_12-24-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,True,False
131,bump_31-13-0.002_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
132,bump_250-11-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
133,bump_190-15-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
134,bump_229-21-0.002_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
135,bump_188-10-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
136,bump_571-22-0.006_87.639_5.000_0_0_12,train,True,True,True,True,False,True,True
137,bump_263-24-0.003_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
138,bump_24-11-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,True,False
139,bump_469-17-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
140,bump_524-23-0.005_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
141,bump_444-18-0.004_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
142,bump_310-21-0.003_87.639_5.000_0_0_12,train,False,False,True,True,False,True,True
143,bump_52-15-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
144,bump_220-11-0.005_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
145,bump_58-10-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
146,bump_170-22-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
147,bump_34-24-0.005_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
148,bump_105-12-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
149,bump_268-18-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
150,bump_342-24-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
151,bump_251-17-0.005_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
152,bump_195-19-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
153,bump_406-12-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
154,bump_35-22-0.004_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
155,bump_201-25-0.003_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
156,bump_470-11-0.008_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
157,bump_564-20-0.002_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
158,bump_161-12-0.001_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
159,bump_242-20-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
160,bump_461-10-0.006_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
161,bump_586-13-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,True,True
162,bump_368-20-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
163,bump_379-10-0.006_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
164,bump_54-25-0.008_87.639_5.000_0_0_12,train,True,True,True,True,False,False,False
165,bump_561-25-0.006_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
166,bump_314-19-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,True,True
167,bump_45-16-0.005_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
168,bump_59-24-0.005_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
169,bump_528-16-0.005_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
170,bump_206-12-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
171,bump_265-10-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
172,bump_169-23-0.004_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
173,bump_118-20-0.002_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
174,bump_131-25-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
175,bump_274-11-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,True,False
176,bump_366-24-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
177,bump_356-22-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
178,bump_376-17-0.001_87.639_5.000_0_0_12,train,False,True,True,True,False,False,False
179,bump_147-18-0.006_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
180,bump_560-13-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
181,bump_430-12-0.007_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
182,bump_89-19-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
183,bump_557-16-0.008_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
184,bump_439-12-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
185,bump_126-24-0.005_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
186,bump_314-25-0.006_87.639_5.000_0_0_12,test,False,False,False,False,False,True,False
187,bump_99-18-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
188,bump_206-12-0.002_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
189,bump_450-17-0.004_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
190,bump_556-20-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
191,bump_450-14-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
192,bump_362-23-0.006_87.639_5.000_0_0_12,train,True,True,True,True,False,False,True
193,bump_548-25-0.003_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
194,bump_216-22-0.007_87.639_5.000_0_0_12,test,False,False,False,False,False,False,False
195,bump_479-16-0.002_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
196,bump_17-12-0.004_87.639_5.000_0_0_12,train,False,False,True,True,False,True,True
197,bump_98-24-0.007_87.639_5.000_0_0_12,train,False,False,True,True,False,False,False
198,bump_476-13-0.002_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
199,bump_453-15-0.004_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
200,bump_440-25-0.001_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
201,bump_467-12-0.004_87.639_5.000_0_0_12,train,False,False,False,True,True,False,False
202,bump_559-17-0.002_87.639_13.670_0_0_12,test_cat,False,False,False,False,False,False,False
203,bump_160-22-0.006_87.639_12.863_0_0_12,test_cat,False,False,False,False,False,False,False
204,bump_130-19-0.003_87.639_13.093_0_0_12,test_cat,False,False,False,False,False,False,False
